review_text,rating,date,bank,source,app_name,app_id
That's a fantastic app! L,2,2024-04-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
What's wrong with App. this days? it doesn't working properly. 1) it's VERY SLOW & doesn't open. it's very Annoying. 2) most of the time it says repeatedly Please try it again or try it later but again and again it doesn't open or work. 3) repeatedly it says something went wrong then it off the screen. I've updated the App. when it needed but nothing changed. 👉PLEASE if it has some issues with the App. Please fix it otherwise I'm going to uninstall it.,2,2024-05-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It's not functional at all,1,2024-05-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"This is the most stupid app I've seen, why would I turn off developer mode just because you can't make your app secure, this clearly indicates the app has very poor implementation and unskilled developers.. There are a lot of people who need developer option for different reasons. Please for the sake of the bank, fix this thing... Even the most secure international banking apps don't require it. Not to mention the lag and crashes",1,2024-07-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
good,2,2025-09-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
not use for me,3,2025-11-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The Bank I always love 😘 and work with them is priceless,5,2024-04-24,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
